Psicologia (Gestão);Clima Organizacional;Banca Padrão;Médio;A percepção coletiva que os membros de uma organização têm sobre o seu ambiente de trabalho, refletindo normas, valores e práticas, é a definição de:;Cultura Organizacional;Clima Organizacional;Gestão de Desempenho;Motivação Intrínseca;;b;Correto. Clima é a percepção momentânea, a 'atmosfera' do local, que é um reflexo da cultura.;Clima = Atmosfera (o que se sente agora). Cultura = DNA (o que a empresa é).;
Psicologia (Saúde);Transtornos de Ansiedade;Banca Padrão;Médio;Ataques de pânico recorrentes e inesperados, seguidos por uma preocupação persistente sobre ter novos ataques, são características centrais do:;Transtorno de Ansiedade Generalizada (TAG);Transtorno de Estresse Pós-Traumático (TEPT);Transtorno Obsessivo-Compulsivo (TOC);Transtorno de Pânico;;d;Correto. A definição descreve perfeitamente o Transtorno de Pânico (medo de ter medo).;A chave do Transtorno de Pânico é o 'medo de ter um novo ataque'.;
Atualidades;Geopolítica;Banca Padrão;Fácil;Qual organização internacional, criada no pós-Guerra Fria com o objetivo de expansão militar e política no Leste Europeu, é atualmente um ponto central de tensão nas relações com a Rússia?;OTAN (NATO);União Europeia (UE);MERCOSUL;ONU;;a;Correto. A Organização do Tratado do Atlântico Norte (OTAN) é a aliança militar liderada pelos EUA cuja expansão é vista como ameaça pela Rússia.;OTAN = Aliança Militar Ocidental.;
Matemática;Porcentagem;Banca Padrão;Médio;Um produto que custava R$ 80,00 sofreu um aumento de 25%. Qual o novo preço?;R$ 90,00;R$ 100,00;R$ 105,00;R$ 95,00;;b;Correto. 25% de 80 = (80 * 0.25) = 20. O novo preço é 80 + 20 = 100.;Para achar 25%, divida o valor por 4 (80/4 = 20). 'Aumento' significa somar esse valor ao original.;Preço Novo = Preço Antigo * (1 + taxa)
Psicologia (Gestão);Liderança;Banca Padrão;Fácil;Qual estilo de liderança, segundo a teoria de Kurt Lewin, é caracterizado pela centralização total do poder e da tomada de decisão no líder?;Democrática;Liberal (Laissez-Faire);Autocrática;Situacional;;c;Correto. Autocrática (ou autoritária) centraliza todo o poder.;Pense em 'Auto' (um) e 'Cracia' (poder). Poder de um só.;
Língua Portuguesa;Ortografia;Banca Padrão;Fácil;Assinale a alternativa em que a palavra está grafada INCORRETAMENTE:;Excessão;Ascensão;Privilégio;Paralisação;;a;Correto (é a incorreta). A grafia correta é 'Exceção', com 'ç'.;Lembre-se de palavras cognatas. 'Exceção' vem de 'exceto'.;
Direito Administrativo;Poderes da Administração;Banca Padrão;Médio;O poder pelo qual a Administração Pública pode condicionar e restringir o uso e gozo de bens ou direitos individuais em prol do interesse coletivo é o:;Poder Hierárquico;Poder Disciplinar;Poder de Polícia;Poder Vinculado;;c;Correto. Esta é a definição clássica do Poder de Polícia (ex: vigilância sanitária, código de trânsito).;Poder de Polícia = Limitar direitos privados em favor do interesse público.;
Raciocínio Lógico;Proposições Categóricas;Banca Padrão;Médio;Qual é a negação da proposição 'Todo brasileiro é otimista'?;Nenhum brasileiro é otimista.;Algum brasileiro não é otimista.;Todo brasileiro não é otimista.;Algum brasileiro é otimista.;;b;Correto. A negação de 'Todo A é B' é 'Algum A não é B' (ou 'Pelo menos um A não é B').;Para negar 'Todo' (universal), basta UM exemplo contrário (particular).;Negação de TODO = Pelo Menos Um Não (Algum Não)
Direito Constitucional;Organização do Estado;Banca Padrão;Difícil;O Distrito Federal, ente federativo que sedia a capital da República, acumula competências de quais outros entes?;Apenas de Municípios;Apenas de Estados;De Estados e Municípios;Da União e dos Estados;;c;Correto. O DF possui competência legislativa e tributária tanto de Estados quanto de Municípios (não pode ser dividido em Municípios).;O DF é um ente 'híbrido'. Pense nele como um Estado que também faz o papel de Município.;Art. 32, § 1º da CF/88
Matemática;Regra de Três Simples;Banca Padrão;Difícil;Se 5 impressoras imprimem 1000 páginas em 4 horas, quantas páginas 3 dessas impressoras imprimiriam em 2 horas?;300 páginas;400 páginas;500 páginas;600 páginas;;a;Correto. É uma regra de três composta. (Imp * Horas) / Páginas = (54)/1000 = (32)/X => 20/1000 = 6/X => 20X = 6000 => X = 300.;Monte a tabela: Impressoras | Horas | Páginas. Analise as grandezas.;(I * H) / P = k (constante)
Atualidades;Meio Ambiente;Banca Padrão;Fácil;O acordo internacional assinado em 2015, com o objetivo de limitar o aquecimento global a bem menos de 2°C acima dos níveis pré-industriais, é conhecido como:;Protocolo de Kyoto;Acordo de Paris;Rio-92;Agenda 21;;b;Correto. O Acordo de Paris (COP21) é o atual grande pacto global sobre o clima.;Acordo de Paris = 2015. Protocolo de Kyoto = 1997.;
Língua Portuguesa;Pontuação (Uso da Vírgula);Banca Padrão;Médio;Em qual das frases abaixo a vírgula foi usada para isolar um APOSTO?;João, o carpinteiro, faltou hoje.;Ela comprou pães, queijos, e vinhos.;Gosto de estudar, mas prefiro descansar.;Naquela manhã, o sol nasceu forte.;;a;Correto. 'o carpinteiro' é um aposto explicativo (uma explicação de quem é 'João').;Aposto é um termo explicativo que pode ser removido sem quebrar a frase.;
Direito Administrativo;Responsabilidade Civil do Estado;Banca Padrão;Médio;A responsabilidade civil do Estado, conforme a Constituição Federal (Art. 37, § 6º), é, em regra:;Subjetiva, baseada na culpa.;Objetiva, na modalidade risco administrativo.;Integral, não admitindo excludentes.;Subjetiva, na modalidade dolo.;;b;Correto. O Estado responde pelos danos (nexo causal e conduta), independentemente de culpa, na modalidade risco administrativo (que admite excludentes, como culpa da vítima).;Risco Administrativo = Objetiva, mas admite excludentes. Risco Integral = Objetiva, não admite excludentes (ex: dano nuclear).;Art. 37, § 6º da CF/88
Raciocínio Lógico;Negação (Leis de De Morgan);Banca Padrão;Difícil;A negação da proposição 'Eu estudo E eu não passo' é:;Eu não estudo E eu passo.;Eu não estudo OU eu passo.;Se eu estudo, então eu passo.;Eu estudo OU eu passo.;;b;Correto. Pela Lei de De Morgan, a negação de (P ^ ~Q) é (~P v Q).;Negação de (P E Q) = (Não P OU Não Q). Cuidado ao negar 'não passo' (negação dupla = afirmação).;~(P ^ Q) <=> (~P v ~Q)
Direito Constitucional;Poder Legislativo;Banca Padrão;Fácil;O processo legislativo que tem por finalidade emendar (modificar) a Constituição Federal é a:;Lei Ordinária;Lei Complementar;Medida Provisória;Proposta de Emenda à Constituição (PEC);;d;Correto. A PEC é o instrumento específico para alterar o texto constitucional.;A Constituição é a 'Lei Maior'. Para mudá-la, é preciso um processo especial (PEC).;Art. 60 da CF/88
Matemática;Média Aritmética Simples;Banca Padrão;Fácil;As notas de um aluno em 4 provas foram 7, 8, 5 e 10. Qual a sua média final?;7,0;7,5;8,0;8,5;;b;Correto. Soma = 7 + 8 + 5 + 10 = 30. Média = Soma / Quantidade = 30 / 4 = 7,5.;Média Simples = Soma de todos os valores dividida pelo número de valores.;M = (N1 + N2 + ... + Nk) / k
Psicologia (Saúde);Psicopatologia;Banca Padrão;Médio;A presença de alucinações (ex: ouvir vozes) e delírios (crenças falsas e irredutíveis), com grande prejuízo no funcionamento social, são sintomas característicos de qual transtorno?;Transtorno Bipolar;Transtorno Depressivo Maior;Esquizofrenia;Transtorno de Personalidade Borderline;;c;Correto. Alucinações e delírios são considerados 'sintomas positivos' clássicos da Esquizofrenia.;Alucinações e Delírios = Sintomas Psicóticos.;
Psicologia (Gestão);Motivação (Maslow);Banca Padrão;Fácil;Segundo a Hierarquia das Necessidades de Maslow, qual das seguintes é uma necessidade de 'Estima'?;Moradia e segurança no emprego.;Amizade e pertencimento a um grupo.;Respeito dos outros e auto-respeito.;Desenvolvimento de todo o potencial.;;c;Correto. Estima envolve o reconhecimento externo (status, respeito) e interno (autoconfiança).;A pirâmide é: Fisiológicas > Segurança > Sociais > Estima > Autorrealização.;
Atualidades;Tecnologia;Banca Padrão;Fácil;O rápido desenvolvimento de modelos de IA capazes de gerar texto, imagens e áudio de forma convincente, como o GPT e o Gemini, é conhecido como:;Inteligência Artificial Fraca;Inteligência Artificial Geral (AGI);IA Generativa;Computação Quântica;;c;Correto. 'Generativa' refere-se à capacidade de gerar novo conteúdo.;IA Generativa = Gera Conteúdo.;
Direito Administrativo;Princípios;Banca Padrão;Fácil;O princípio da Administração Pública que exige que o agente público atue sempre buscando o bem comum, sem favorecer interesses pessoais, é o da:;Legalidade;Eficiência;Impessoalidade;Publicidade;;c;Correto. Impessoalidade (ou Finalidade) significa que o fim da ação deve ser o interesse público, não o pessoal (ex: proibição de promoção pessoal).;Lembre-se do 'LIMPE' (Legalidade, Impessoalidade, Moralidade, Publicidade, Eficiência).;Art. 37, caput, da CF/88
Matemática;Proporção;Banca Padrão;Fácil;Uma receita de bolo exige 3 ovos para 2 xícaras de farinha. Se você quiser usar 6 xícaras de farinha, quantos ovos precisará?;5 ovos;6 ovos;9 ovos;12 ovos;;c;Correto. A proporção é 3/2 (ovos/farinha). Você triplicou a farinha (2 * 3 = 6). Logo, deve triplicar os ovos (3 * 3 = 9).;Se uma grandeza aumenta (farinha), a outra também aumenta (ovos).;3/2 = X/6 => 2X = 18 => X = 9
Raciocínio Lógico;Argumentação;Banca Padrão;Médio;Em um argumento válido, se as premissas são verdadeiras, a conclusão:;É provavelmente verdadeira.;É necessariamente verdadeira.;Pode ser falsa.;É necessariamente falsa.;;b;Correto. Esta é a definição de um argumento dedutivo válido.;Argumento Válido + Premissas Verdadeiras = Conclusão Verdadeira (Sempre).;
Direito Administrativo;Improbidade Administrativa;Banca Padrão;Médio;A perda da função pública e a suspensão dos direitos políticos são sanções aplicáveis a atos de improbidade administrativa que:;Atentam contra os princípios da administração.;Geram prejuízo ao erário.;Geram enriquecimento ilícito.;Todas as anteriores.;;d;Correto. A Lei de Improbidade (Lei 8.429/92) prevê essas sanções (em diferentes gradações) para todas essas categorias de atos.;A Lei de Improbidade prevê diferentes 'pacotes' de sanções para cada tipo de ato.;
Língua Portuguesa;Semântica;Banca Padrão;Médio;Qual palavra é um SINÔNIMO de 'prescindir'?;Obrigar;Necessitar;Dispensar;Indicar;;c;Correto. Prescindir significa 'não precisar de', 'abrir mão de', 'dispensar'.;Prescindir = Dispensar. Imprescindível = Indispensável.;
Direito Constitucional;Nacionalidade;Banca Padrão;Fácil;De acordo com a CF/88, qual dos seguintes cargos é privativo de brasileiro nato?;Deputado Federal;Senador;Prefeito;Presidente da República;;d;Correto. Juntamente com Vice-Presidente, Pres. da Câmara, Pres. do Senado, Ministros do STF, entre outros.;Lembre-se da linha sucessória presidencial.;Art. 12, § 3º da CF/88
Matemática;Geometria Plana;Banca Padrão;Fácil;Um campo de futebol tem 100 metros de comprimento por 70 metros de largura. Qual a sua área total?;340 metros quadrados;170 metros quadrados;7.000 metros quadrados;3.500 metros quadrados;;c;Correto. A área de um retângulo é calculada multiplicando-se o comprimento pela largura (100 * 70 = 7000).;Perímetro = Soma dos lados. Área = Lado * Lado (ou Base * Altura).;Área Retângulo = Base * Altura
Psicologia (Saúde);SUS (Sistema Único de Saúde);Banca Padrão;Médio;Quais são os três princípios doutrinários (ou fundamentais) do SUS?;Universalidade, Equidade e Integralidade.;Gratuidade, Regionalização e Hierarquização.;Participação Social, Descentralização e Universalidade.;Integralidade, Gratuidade e Equidade.;;a;Correto. Estes são os 3 princípios doutrinários (filosóficos).;Doutrinários = A 'alma' (Universalidade, Equidade, Integralidade). Organizativos = O 'corpo' (Regionalização, Descentralização, Participação Social).;Lei 8.080/90
Psicologia (Gestão);Desenvolvimento de Equipes;Banca Padrão;Médio;Segundo o modelo de Tuckman, o estágio de desenvolvimento de equipe onde os membros começam a resolver seus conflitos e desenvolver coesão é chamado de:;Formação (Forming);Conflito (Storming);Normatização (Norming);Desempenho (Performing);;c;Correto. Na Normatização, o grupo define suas regras (normas) e começa a se unir.;A ordem é: Forming > Storming > Norming > Performing.;
Atualidades;Globalização;Banca Padrão;Fácil;O processo de intensificação das trocas econômicas, políticas e culturais entre os países, impulsionado pela tecnologia e pelo neoliberalismo, é conhecido como:;Nacionalismo;Protecionismo;Globalização;Regionalização;;c;Correto. Esta é a definição clássica de Globalização.;Globalização = Mundo sem fronteiras (principalmente econômicas).;
Raciocínio Lógico;Diagramas (Conjuntos);Banca Padrão;Difícil;Numa pesquisa com 100 pessoas, 50 leem o jornal A, 40 leem o jornal B e 10 leem ambos (A e B). Quantas pessoas não leem nenhum dos dois jornais?;10;20;30;0;;b;Correto. (Apenas A = 50-10=40). (Apenas B = 40-10=30). (Ambos = 10). Total que lê algo = 40+30+10 = 80. Total geral = 100. Não leem nada = 100 - 80 = 20.;Comece sempre pela interseção (o 'meio').;União (A ou B) = A + B - (A e B)
Direito Administrativo;Servidores Públicos (Lei 8.112);Banca Padrão;Médio;Qual das seguintes NÃO é uma forma de provimento em cargo público, segundo a Lei 8.112/90?;Nomeação;Promoção;Readaptação;Exoneração;;d;Correto. Exoneração é forma de VACÂNCIA (deixar o cargo), não de provimento (entrar no cargo).;Provimento = Entrar/Preencher. Vacância = Sair/Esvaziar.;
Língua Portuguesa;Coesão (Pronomes);Banca Padrão;Difícil;Assinale a alternativa que preenche corretamente a lacuna: 'O livro ___ autor gosto muito foi premiado.';que;o qual;cujo;do qual;;c;Correto. 'Cujo' é o único pronome relativo que indica posse (autor DO livro / livro CUJO autor).;'Cujo' sempre fica entre dois substantivos e indica posse (Carro CUJO pneu / Livro CUJO autor).;
Direito Constitucional;Ordem Social (Seguridade);Banca Padrão;Fácil;A Seguridade Social, conforme a CF/88, compreende um conjunto integrado de ações de iniciativa dos Poderes Públicos e da sociedade, destinadas a assegurar os direitos relativos a:;Saúde, Previdência Social e Educação.;Saúde, Previdência Social e Assistência Social.;Educação, Cultura e Esporte.;Trabalho, Moradia e Lazer.;;b;Correto. Este é o 'tripé' da Seguridade Social (S.P.A.).;Lembre-se do mnemônico 'S.P.A.' (Saúde, Previdência, Assistência).;Art. 194 da CF/88
Matemática;Juros Compostos;Banca Padrão;Difícil;Qual o montante de uma aplicação de R$ 1.000,00 a juros compostos de 10% ao mês, pelo período de 2 meses?;R$ 1.200,00;R$ 1.210,00;R$ 200,00;R$ 210,00;;b;Correto. Mês 1: 1000 + 10% = 1100. Mês 2: 1100 + 10% de 1100 (110) = 1210.;Juros compostos são 'juros sobre juros'. A taxa incide sobre o montante do mês anterior.;M = C * (1 + i)^t
Psicologia (Saúde);Ética Profissional;Banca Padrão;Médio;O Código de Ética Profissional do Psicólogo (CEPP) baseia-se em princípios fundamentais. A quebra do sigilo profissional é permitida em qual situação?;A pedido da família do paciente.;Quando o psicólogo se sente ameaçado.;Em caso de menor de idade, para os pais.;Quando há risco de grave dano ao paciente ou a terceiros.;;d;Correto. O princípio da 'não maleficência' (proteger a vida) se sobrepõe ao sigilo.;A vida e a integridade física estão acima do sigilo.;
Psicologia (Gestão);Avaliação de Desempenho;Banca Padrão;Fácil;O método de avaliação de desempenho em que o funcionário é avaliado por seus superiores, pares (colegas), subordinados e, às vezes, clientes, é chamado de:;Avaliação por Objetivos;Escala Gráfica;Avaliação 360 Graus;Autoavaliação;;c;Correto. A Avaliação 360 Graus (ou Feedback 360) coleta percepções de todos os ângulos ao redor do avaliado.;360 Graus = Avaliação vinda de todas as direções.;
Atualidades;Economia/Energia;Banca Padrão;Fácil;A matriz energética brasileira é conhecida por ser uma das mais 'limpas' do mundo. Isso se deve, principalmente, à alta participação de qual fonte?;Energia Eólica;Energia Solar;Energia Hidrelétrica;Biomassa (Etanol);;c;Correto. As grandes usinas hidrelétricas (como Itaipu, Belo Monte) formam a base da matriz elétrica do Brasil há décadas.;O Brasil depende muito dos seus rios para gerar eletricidade.;
Raciocínio Lógico;Sequências Lógicas;Banca Padrão;Médio;Qual o próximo número da sequência: 1, 1, 2, 3, 5, 8, 13, ...?;18;20;21;24;;c;Correto. É a Sequência de Fibonacci, onde cada número é a soma dos dois anteriores (8 + 13 = 21).;Procure um padrão. 1+1=2, 1+2=3, 2+3=5, 3+5=8...;Sequência de Fibonacci
Direito Administrativo;Bens Públicos;Banca Padrão;Médio;Um prédio onde funciona uma repartição pública (ex: uma Prefeitura) é classificado como um bem:;De uso comum do povo;De uso especial;Dominical (ou Dominial);Particular;;b;Correto. Uso especial é aquele afetado (destinado) a um serviço ou estabelecimento público (ex: escolas, hospitais, prefeitura).;Uso Comum = Ruas. Uso Especial = Repartições. Dominical = Sem Uso.;
Língua Portuguesa;Figuras de Linguagem;Banca Padrão;Médio;A expressão 'Aquela notícia foi um balde de água fria' é um exemplo de:;Metáfora;Hipérbole;Eufemismo;Ironia;;a;Correto. É uma comparação implícita (notícia = balde de água fria), sem o conectivo 'como'.;Metáfora = Comparação implícita. Símile = Comparação explícita (com 'como').;
Matemática;Probabilidade;Banca Padrão;Fácil;Ao lançar um dado honesto (de 6 faces), qual a probabilidade de sair um número maior que 4?;1/6;2/6 (ou 1/3);3/6 (ou 1/2);4/6 (ou 2/3);;b;Correto. Casos favoráveis (números > 4) = 2 (o 5 e o 6). Casos totais = 6 (faces 1, 2, 3, 4, 5, 6). Probabilidade = 2/6, que simplificado é 1/3.;Probabilidade = (Casos que eu quero) / (Total de casos possíveis).;P(A) = n(A) / n(S)
Língua Portuguesa;Acentuação;Banca Padrão;Fácil;Qual palavra é acentuada pela mesma regra de 'história'?;País;Saúde;Família;Útil;;c;Correto. 'História' e 'Família' são paroxítonas terminadas em ditongo crescente.;A regra é: Paroxítona terminada em ditongo.;
Direito Administrativo;Bens Públicos;Banca Padrão;Médio;O ato pelo qual o Estado retira a destinação pública de um bem de uso especial (como um prédio escolar desativado), tornando-o um bem dominical, chama-se:;Afetação;Desafetação;Tombamento;Desapropriação;;b;Correto. Desafetação é o ato de RETIRAR a destinação pública.;Afetar = Ligar (a um uso). Desafetar = Desligar (do uso).;
Raciocínio Lógico;Negação (Proposições Categóricas);Banca Padrão;Médio;Qual é a negação de 'Algum político é honesto'?;Algum político não é honesto.;Nenhum político é honesto.;Todo político é honesto.;Todo político não é honesto.;;b;Correto. A negação de 'Algum A é B' (particular afirmativa) é 'Nenhum A é B' (universal negativa).;Negação de ALGUM = NENHUM. Negação de TODO = ALGUM NÃO.;Negação de ∃x, P(x) é ∀x, ~P(x)
Direito Constitucional;Remédios Constitucionais;Banca Padrão;Fácil;Qual remédio constitucional é cabível para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros de entidades governamentais?;Habeas Corpus;Mandado de Segurança;Habeas Data;Ação Popular;;c;Correto. Habeas Data ('dê-me os dados') é para acesso ou retificação de informações pessoais.;Data = Dados. Corpus = Corpo.;Art. 5º, LXXII da CF/88
Matemática;Geometria (Área);Banca Padrão;Médio;Qual a área de um círculo com raio de 10 cm? (Considere π = 3,14);31,4 cm²;62,8 cm²;314 cm²;100 cm²;;c;Correto. A área é π * r². A = 3,14 * (10*10) = 3,14 * 100 = 314 cm².;Cuidado para não confundir a fórmula da Área (πr²) com a da Circunferência (2πr).;A = π * r²
Psicologia (Gestão);Behaviorismo (Comportamental);Banca Padrão;Fácil;Na teoria de B.F. Skinner, o ato de adicionar uma recompensa (ex: um bônus) após um comportamento desejado (ex: bater a meta) para aumentar a chance desse comportamento se repetir, é chamado de:;Reforço Negativo;Punição Positiva;Reforço Positivo;Extinção;;c;Correto. Reforço Positivo é a ADIÇÃO de algo bom (recompensa).;Positivo = Adicionar. Negativo = Retirar. Reforço = Aumentar Comportamento. Punição = Diminuir Comportamento.;
Atualidades;Relações Internacionais;Banca Padrão;Médio;Em 2024, o bloco de países conhecido como BRICS (Brasil, Rússia, Índia, China, África do Sul) passou por uma grande expansão, adicionando novos membros. Qual dos seguintes países NÃO se tornou membro pleno em 2024?;Egito;Irã;Arábia Saudita;Argentina;;d;Correto. A Argentina foi convidada, mas o novo governo (de Javier Milei) formalmente recusou o convite.;A expansão incluiu Egito, Etiópia, Irã, Arábia Saudita e Emirados Árabes Unidos.;
Língua Portuguesa;Uso dos 'Porquês';Banca Padrão;Médio;Complete a frase: 'Eu não sei ___ ela faltou, mas sei que foi ___ estava doente.';por que / porque;porque / por que;por quê / porquê;por que / por quê;;a;Correto. 'por que' (separado) é usado para perguntas (diretas ou indiretas, 'por qual motivo'). 'porque' (junto) é usado para respostas (explicação).;Por que = Pergunta/Motivo. Porque = Resposta/Explicação. Por quê = Fim de frase. O Porquê = Substantivo.;
Direito Administrativo;Licitações (Inexigibilidade);Banca Padrão;Difícil;A contratação de um artista consagrado pela crítica especializada ou pela opinião pública é um exemplo clássico de:;Licitação Dispensada;Licitação Dispensável;Concorrência;Inexigibilidade de Licitação;;d;Correto. Inexigibilidade (Art. 74 da Lei 14.133) ocorre quando há 'inviabilidade de competição', como na contratação de artista exclusivo ou notória especialização.;Inexigível = Impossível competir (ex: um show do Zeca Pagodinho, só o Zeca Pagodinho pode fazer).;Art. 74, II, Lei 14.133/21
Raciocínio Lógico;Tabela Verdade (Bicondicional);Banca Padrão;Médio;Na proposição composta P <-> Q (Bicondicional, 'Se e somente se'), o resultado lógico será Verdadeiro (V) quando:;Os valores de P e Q forem diferentes.;Os valores de P e Q forem iguais.;P for V e Q for F.;P for F e Q for V.;;b;Correto. A bicondicional só é verdade se ambos forem verdadeiros (V-V) ou ambos falsos (F-F).;A Bicondicional exige igualdade. Pense nela como um 'detector de igualdade'.;
Direito Constitucional;Poder Executivo;Banca Padrão;Fácil;Qual o instrumento com força de lei que pode ser adotado pelo Presidente da República, em casos de relevância e urgência?;Decreto Legislativo;Medida Provisória;Lei Delegada;Emenda Constitucional;;b;Correto. A Medida Provisória (MP) tem força de lei e é usada para relevância e urgência, mas precisa de aprovação posterior do Congresso.;MP = Relevância + Urgência.;Art. 62 da CF/88
Matemática;Juros Compostos;Banca Padrão;Difícil;Um capital de R$ 5.000,00 foi aplicado a juros compostos e, após 2 meses, gerou um montante de R$ 5.512,50. Qual foi a taxa de juros mensal?;2%;3,5%;4%;5%;;d;Correto. M = C(1+i)^t => 5512,50 = 5000(1+i)² => (1+i)² = 1,1025 => (1+i) = sqrt(1,1025) => 1+i = 1,05 => i = 0,05 (ou 5%).;É o inverso do cálculo do montante. Você precisa achar a raiz quadrada.;M = C * (1 + i)^t
Psicologia (Saúde);Psicanálise (Freud);Banca Padrão;Fácil;Segundo Freud, a instância psíquica que opera pelo 'Princípio da Realidade', mediando os impulsos do Id e as regras do Superego, é o:;Ego;Id;Superego;Inconsciente;;a;Correto. O Ego é o 'executivo' da personalidade, buscando o equilíbrio com a realidade.;Id = Prazer. Ego = Realidade. Superego = Moral.;
Psicologia (Gestão);Terapia Cognitivo-Comportamental (TCC);Banca Padrão;Médio;Na TCC, o modelo cognitivo propõe que as emoções e comportamentos são influenciados pela interpretação (cognição) dos eventos. O que Aaron Beck chamou de 'pensamentos que surgem rapidamente e parecem plausíveis'?;Distorções Cognitivas;Crenças Centrais;Pensamentos Automáticos;Esquemas;;c;Correto. Pensamentos Automáticos são o fluxo de consciência superficial (ex: 'ele não me cumprimentou, ele me odeia').;Situação -> Pensamento Automático -> Emoção/Comportamento;
Atualidades;Demografia;Banca Padrão;Fácil;O fenômeno demográfico observado no Brasil e em grande parte do mundo, caracterizado pela diminuição da taxa de natalidade e aumento da expectativa de vida, resultando em maior proporção de idosos, é chamado de:;Crescimento Vegetativo;Transição Demográfica;Inchaço Urbano;Êxodo Rural;;b;Correto. A Transição Demográfica é o processo que leva a esse envelhecimento.;O resultado final da Transição Demográfica é o envelhecimento da população.;
